Chapter,Top Words
rladies-addis-ababa,"2021, monthly, conference, la, exploratory, rmarkdown, post, encuentro, anual, website"
rladies-aguascalientes,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-ames,"rmarkdown, zero, international, rstudio, 3º, 2º, user, day, night, september"
rladies-athens-ga,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-auckland,"package, summer, des, party, 2020, social, talks, series, lightning, open"
rladies-austin,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-banda-aceh,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-bari,"day, community, el, code, analytics, curso, ii, research, tech, tidyverse"
rladies-barranquilla,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-belgrade,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-belo-horizonte,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-boulder,"panel, el, virtual, ciencia, tutorial, learnr, paquete, group, day, invita"
rladies-brussels,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-bucharest,"day, community, el, code, analytics, curso, ii, research, tech, tidyverse"
rladies-buenos-aires,"paquete, dplyr, 3º, event, introducción, studio, day, march, launch, club"
rladies-calgary,"package, summer, des, party, 2020, social, talks, series, lightning, open"
rladies-cincinnati,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-ciudad-obregon,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-colombo,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-coventry,"rstudio, programming, tidy, tech, project, introducción, markdown, ggplot2, user, network"
rladies-cuernavaca,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-cusco,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-dallas,"primer, visualization, introduction, event, panel, community, shiny, post, beginner, september"
rladies-den-bosch,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-denver,"2021, monthly, conference, la, exploratory, rmarkdown, post, encuentro, anual, website"
rladies-des-moines,"package, summer, des, party, 2020, social, talks, series, lightning, open"
rladies-east-lansing,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-el-paso,"panel, el, virtual, ciencia, tutorial, learnr, paquete, group, day, invita"
rladies-fayetteville,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-florianopolis,"nasa, del, club, book, tutorial, study, shiny, user, libro, ggplot2"
rladies-frankfurt,"primer, visualization, introduction, event, panel, community, shiny, post, beginner, september"
rladies-gaborone,"rstudio, programming, tidy, tech, project, introducción, markdown, ggplot2, user, network"
rladies-galapagos-islands,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-general-pico,"panel, el, virtual, ciencia, tutorial, learnr, paquete, group, day, invita"
rladies-glasgow,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-guayaquil,"primer, visualization, introduction, event, panel, community, shiny, post, beginner, september"
rladies-helsinki,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-highland-park,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-irvine,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-johannesburg,"package, summer, des, party, 2020, social, talks, series, lightning, open"
rladies-kansas-city,"del, rstudio, ggplot2, anual, event, méxico, app, 6º, ropensci, tutorial"
rladies-kyiv,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-la,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-la-paz,"panel, el, virtual, ciencia, tutorial, learnr, paquete, group, day, invita"
rladies-la-plata,"2021, monthly, conference, la, exploratory, rmarkdown, post, encuentro, anual, website"
rladies-lagos,"panel, el, virtual, ciencia, tutorial, learnr, paquete, group, day, invita"
rladies-lancaster,"rstudio, programming, tidy, tech, project, introducción, markdown, ggplot2, user, network"
rladies-lavras,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-leuven,"august, april, des, web, anual, online, rmarkdown, club, lightning, github"
rladies-london,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-loughborough,"day, community, el, code, analytics, curso, ii, research, tech, tidyverse"
rladies-louisville,"august, april, des, web, anual, online, rmarkdown, club, lightning, github"
rladies-lviv,"nasa, del, club, book, tutorial, study, shiny, user, libro, ggplot2"
rladies-manchester,"panel, el, virtual, ciencia, tutorial, learnr, paquete, group, day, invita"
rladies-masqat,"rstudio, programming, tidy, tech, project, introducción, markdown, ggplot2, user, network"
rladies-medellin,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-melbourne,"rmarkdown, zero, international, rstudio, 3º, 2º, user, day, night, september"
rladies-mendoza,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-montpellier,"package, summer, des, party, 2020, social, talks, series, lightning, open"
rladies-montreal,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-morelia,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-natal,"rmarkdown, zero, international, rstudio, 3º, 2º, user, day, night, september"
rladies-new-delhi,"day, community, el, code, analytics, curso, ii, research, tech, tidyverse"
rladies-niteroi,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-ottawa,"primer, visualization, introduction, event, panel, community, shiny, post, beginner, september"
rladies-paris,"august, april, des, web, anual, online, rmarkdown, club, lightning, github"
rladies-pdx,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-perth,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-podgorica,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-porto-alegre,"nasa, del, club, book, tutorial, study, shiny, user, libro, ggplot2"
rladies-puebla,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-pune,"nasa, del, club, book, tutorial, study, shiny, user, libro, ggplot2"
rladies-rabat-ma,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-recife,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-resistencia-corrientes,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-rio,"rmarkdown, zero, international, rstudio, 3º, 2º, user, day, night, september"
rladies-rtp,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-salvador,"panel, el, virtual, ciencia, tutorial, learnr, paquete, group, day, invita"
rladies-san-jose,"paquete, dplyr, 3º, event, introducción, studio, day, march, launch, club"
rladies-sancristobal,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-santa-rosa,"panel, el, virtual, ciencia, tutorial, learnr, paquete, group, day, invita"
rladies-sao-paulo,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-seattle,"package, summer, des, party, 2020, social, talks, series, lightning, open"
rladies-stockholm,"package, summer, des, party, 2020, social, talks, series, lightning, open"
rladies-strasbourg,"package, summer, des, party, 2020, social, talks, series, lightning, open"
rladies-talca,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-tc,"2021, monthly, conference, la, exploratory, rmarkdown, post, encuentro, anual, website"
rladies-thessaloniki,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-tijuana,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-urmia,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-ushuaia,"rstudio, programming, tidy, tech, project, introducción, markdown, ggplot2, user, network"
rladies-valparaiso,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
rladies-vancouver,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-vienna,"nasa, del, club, book, tutorial, study, shiny, user, libro, ggplot2"
rladies-vitoria,"series, curso, online, 1º, zero, session, social, des, learning, june"
rladies-wageningen,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-wellington,"tech, ggplot2, learning, analytics, launch, year, rmarkdown, group, tidy, méxico"
rladies-xalapa,"anual, study, group, encuentro, mexico, introducción, segundo, github, rstudio, models"
rladies-zurich,"rmarkdown, zero, international, rstudio, 3º, 2º, user, day, night, september"
rladiesnyc,"club, book, learning, encuentro, code, 5º, advanced, group, talks, lectura"
